ja	ru
ディスク上の実行ファイル	исполняемый файл на диске
ネットワーク上の利用者	пользователь сети
ネットワーク管理	управление сетью
ネットワーク装置	сетевое устройство
ハードウェア	оборудование
ハードウェアまたは仮想マシン	компьютер или виртуальная машина
ハードウェアを初期化	инициализирует оборудование
パソコン	персональный компьютер
パッケージ	пакет
パッケージを導入する処理	установка пакета
ファイルの所有者UID・GID・mode	UID / GID / режим файла
ファイルへ保存	запись в файл
ファイル管理	управление файлами
ファームウェア	прошивка
ブラウザ	браузер
ブートローダー	загрузчик
プライマリ	основная
プライマリグループ jduwriter	основная группа jduwriter
プログラム	программа
プロセス	процесс
プロセスのUIDとGID群	UID и GID процесса
プロセス管理	управление процессами
ホスト公開鍵を確認	проверяет открытый ключ хоста
ホスト名	имя хоста
ホスト秘密鍵を保管	хранит закрытый ключ хоста
ホームディレクトリ	домашний каталог
メモリ	память
メモリ管理	управление памятью
ユーザー	пользователь
ユーザー・グループ	пользователь / группа
ユーザー公開鍵で認証	проверяет открытый ключ пользователя
ユーザー秘密鍵を保管	хранит закрытый ключ пользователя
ユーザー空間	пространство пользователя
ユーザー空間の主要な道具	основные инструменты пользователя
ライブラリ・コマンド・シェル	библиотеки / команды / оболочка
リポジトリのパッケージ情報	сведения о пакетах репозитория
リポジトリのパッケージ本体	пакеты репозитория
リモート	удалённый
ローカル	локальный
ローカルのパッケージ一覧	локальный индекс пакетов
ローカルファイル	локальные файлы
ローカルユーザー	локальный пользователь
一覧を更新する処理	обновление индекса
互換環境の目標	цель совместимости
作成して待ち受け	создаёт и ждёт
使用するpermission classを1つ選ぶ	выбирает одну категорию прав
保存された設定	сохранённая настройка
保存された設定とデータ	сохранённые настройки и данные
入力ファイル	входной файл
公開コンテンツ	предоставляемое содержимое
公開ファイル	предоставляемый файл
共有ディレクトリ	общий каталог
出力先	место вывода
判定結果	результат проверки
別のOS系統	другое семейство ОС
利用者	пользователь
利用者・入出力	пользователь / ввод-вывод
制御	управляет
学生PC	ПК студента
実行中のプログラム	работающая программа
実行中の仕組み	работающая система
待ち受けソケット	ожидающий сокет
必要な権限あり → 許可	нужное право есть → разрешить
必要な権限なし → 拒否	нужного права нет → отказать
所有グループ ops	группа-владелец ops
所有者・権限	владелец / права
技術基盤	техническая основа
接続を渡す	передаёт соединение
接続元	источник соединения
接続元（SSHクライアント）	источник (SSH-клиент)
接続先	адресат соединения
接続先（SSHサーバー）	адресат (SSH-сервер)
操作	действие
文字列	текст
新規ファイル	новый файл
暗号化されたSSH通信	зашифрованная связь SSH
標準エラー出力 stderr	стандартный поток ошибок stderr
標準入力 stdin	стандартный ввод stdin
標準出力 stdout	стандартный вывод stdout
権限管理	управление правами
次のコマンド	следующая команда
次回起動時に開始する設定	автозапуск при следующей загрузке
歴史上のUnix	исторический Unix
比較する情報	сравниваемые данные
派生	производная система
独立実装	независимая реализация
現在の実行状態	текущее состояние
現在動いている状態	работает сейчас
管理方法は異なる	способы управления различаются
継続して提供する機能	постоянная функция
補助	дополнительная
補助から外す	удалить из дополнительных
観測	наблюдает
解釈して起動	разбирает и запускает
記憶装置	накопитель
記録する	записывает
設計上の影響	влияние на устройство
読み取る	читает
起動・停止・監視	запуск / остановка / контроль
起動・監視	запуск / контроль
起動方法の設定	настройка запуска
通信	связь
選ばれた欄の	в выбранной категории
順番に比較	сравнить по порядку
ディレクトリツリーの例（抜粋）	пример дерева каталогов
ファイルを開く	открыть файл
文字を入力	ввести текст
内容を編集する	изменить содержимое
保存する	сохранить
nanoを終了する	выйти из nano
保存結果を読み直す	перечитать сохранённое
接続を待ち受けている状態	ожидание соединения
ローカルIPアドレスとポート番号	локальный IP-адрес и порт
ソケットを所有するプログラム	программа-владелец сокета
実行中プロセスのPID	PID работающего процесса
