ja	uz
別のOS系統	boshqa OS oilasi
利用者	foydalanuvchi
利用者・入出力	foydalanuvchi / kirish-chiqish
制御	boshqaradi
学生PC	talaba PCsi
実行中のプログラム	ishlayotgan program
実行中の仕組み	ishlayotgan tizim
待ち受けソケット	listening socket
必要な権限あり → 許可	kerakli permission bor → ruxsat
必要な権限なし → 拒否	kerakli permission yo‘q → rad
所有グループ ops	egasi bo‘lgan group ops
所有者・権限	owner / permission
技術基盤	texnik asos
接続を渡す	ulanishni uzatadi
接続元	ulanish manbasi
接続元（SSHクライアント）	local (SSH client)
接続先	ulanish manzili
接続先（SSHサーバー）	remote (SSH server)
操作	amal
文字列	matn
新規ファイル	yangi file
暗号化されたSSH通信	shifrlangan SSH aloqasi
標準エラー出力 stderr	standard error stderr
標準入力 stdin	standard input stdin
標準出力 stdout	standard output stdout
権限管理	permission boshqaruvi
次のコマンド	keyingi command
次回起動時に開始する設定	keyingi yuklanishda boshlash
歴史上のUnix	tarixiy Unix
比較する情報	solishtiriladigan ma’lumot
派生	kelib chiqqan
独立実装	mustaqil ishlanma
現在の実行状態	hozirgi ish holati
現在動いている状態	hozir ishlayapti
管理方法は異なる	boshqarish usuli farq qiladi
継続して提供する機能	davomli xizmat
補助	supplementary
補助から外す	supplementarydan chiqar
観測	kuzatish
解釈して起動	talqin qilib boshlaydi
記憶装置	saqlash qurilmasi
記録する	yozib boradi
設計上の影響	tuzilishga ta’sir
読み取る	o‘qiydi
起動・停止・監視	boshlash / to‘xtatish / kuzatish
起動・監視	boshlash / kuzatish
起動方法の設定	boshlash sozlamasi
通信	aloqa
選ばれた欄の	tanlangan sinfdagi
順番に比較	ketma-ket solishtir
ディレクトリツリーの例（抜粋）	directory tree namunasi
ファイルを開く	fileni ochish
文字を入力	matn kiritish
内容を編集する	mazmunni tahrirlash
保存する	saqlash
nanoを終了する	nanodan chiqish
保存結果を読み直す	saqlanganini qayta o‘qish
接続を待ち受けている状態	ulanishni kutish holati
ローカルIPアドレスとポート番号	local IP address va port
ソケットを所有するプログラム	socket egasi bo‘lgan program
実行中プロセスのPID	ishlayotgan process PIDi
